date,AA,A,BBB,HY,CCC
2023-08-01,0.6200,1.0000,1.4700,3.8200,9.1000
2023-08-02,0.6400,1.0200,1.5000,3.9600,9.2700
2023-08-03,0.6400,1.0300,1.5100,3.9800,9.3300
2023-08-04,0.6400,1.0300,1.5100,4.0100,9.3800
2023-08-07,0.6400,1.0300,1.5100,3.9700,9.3200
2023-08-08,0.6500,1.0400,1.5200,4.0000,9.2700
2023-08-09,0.6500,1.0400,1.5200,3.9400,9.1400
2023-08-10,0.6400,1.0300,1.5100,3.8300,9.0300
2023-08-11,0.6400,1.0300,1.5100,3.8300,9.0400
2023-08-14,0.6500,1.0400,1.5100,3.7900,8.9100
2023-08-15,0.6600,1.0500,1.5200,3.8500,8.9500
2023-08-16,0.6600,1.0600,1.5300,3.8100,8.9000
2023-08-17,0.6700,1.0700,1.5500,3.9500,9.0600
2023-08-18,0.6700,1.0700,1.5600,4.0200,9.1300
2023-08-21,0.6700,1.0700,1.5500,3.9700,9.0900
2023-08-22,0.6600,1.0600,1.5400,3.9300,9.0700
2023-08-23,0.6600,1.0600,1.5400,3.9200,9.0300
2023-08-24,0.6500,1.0400,1.5200,3.9100,9.0200
2023-08-25,0.6500,1.0400,1.5100,3.9000,9.0100
2023-08-28,0.6400,1.0300,1.5100,3.8600,8.9900
2023-08-29,0.6600,1.0300,1.5100,3.8700,8.9700
2023-08-30,0.6600,1.0300,1.5100,3.8000,8.9000
2023-08-31,0.6500,1.0300,1.5100,3.8500,9.0000
2023-09-01,0.6500,1.0300,1.5100,3.8100,8.9400
2023-09-04,0.6600,1.0400,1.5100,3.8100,8.9500
2023-09-05,0.6500,1.0400,1.5100,3.8300,8.9800
2023-09-06,0.6600,1.0500,1.5200,3.8600,9.0000
2023-09-07,0.6600,1.0500,1.5200,3.9000,9.0200
2023-09-08,0.6500,1.0400,1.5100,3.8500,8.9600
2023-09-11,0.6500,1.0400,1.5100,3.8200,8.9100
2023-09-12,0.6600,1.0500,1.5200,3.8400,8.9100
2023-09-13,0.6600,1.0500,1.5300,3.8500,8.9000
2023-09-14,0.6500,1.0400,1.5100,3.7800,8.7700
2023-09-15,0.6500,1.0400,1.5100,3.7900,8.7700
2023-09-18,0.6500,1.0400,1.5100,3.8200,8.8100
2023-09-19,0.6400,1.0300,1.5000,3.8200,8.8100
2023-09-20,0.6300,1.0200,1.4800,3.7700,8.7500
2023-09-21,0.6300,1.0200,1.4800,3.8900,8.9400
2023-09-22,0.6300,1.0200,1.4800,3.9300,8.9800
2023-09-25,0.6200,1.0200,1.4700,3.9700,9.0600
2023-09-26,0.6200,1.0200,1.4800,4.0400,9.1700
2023-09-27,0.6200,1.0400,1.4900,4.0300,9.2200
2023-09-28,0.6400,1.0500,1.5100,4.0900,9.2500
2023-09-29,0.6400,1.0600,1.5100,4.0300,9.1900
2023-10-02,0.6600,1.0800,1.5400,4.1100,9.3600
2023-10-03,0.6700,1.1100,1.5700,4.2600,9.6400
2023-10-04,0.6800,1.1200,1.5800,4.3700,9.7600
2023-10-05,0.6700,1.1200,1.5900,4.3800,9.8100
2023-10-06,0.6700,1.1100,1.5800,4.3300,9.7600
2023-10-09,0.6700,1.1100,1.5800,4.3400,9.7800
2023-10-10,0.6800,1.1100,1.5800,4.2600,9.6600
2023-10-11,0.6600,1.1000,1.5700,4.2500,9.6100
2023-10-12,0.6500,1.0900,1.5600,4.2500,9.6700
2023-10-13,0.6600,1.0900,1.5700,4.3000,9.7200
2023-10-16,0.6600,1.0900,1.5600,4.2700,9.7000
2023-10-17,0.6600,1.1000,1.5600,4.2500,9.6900
2023-10-18,0.6700,1.1100,1.5800,4.3200,9.7900
2023-10-19,0.6800,1.1300,1.6000,4.3700,9.9100
2023-10-20,0.6900,1.1500,1.6300,4.5200,10.1100
2023-10-23,0.7000,1.1500,1.6300,4.5100,10.1400
2023-10-24,0.6800,1.1300,1.6000,4.4100,10.0400
2023-10-25,0.6700,1.1200,1.5900,4.3700,10.0100
2023-10-26,0.6700,1.1200,1.6000,4.5000,10.2600
2023-10-27,0.6700,1.1300,1.6100,4.5300,10.3400
2023-10-30,0.6800,1.1300,1.6200,4.5000,10.4100
2023-10-31,0.6800,1.1400,1.6200,4.4200,10.4000
2023-11-01,0.6900,1.1500,1.6300,4.4700,10.5700
2023-11-02,0.6600,1.1200,1.5900,4.1500,10.1200
2023-11-03,0.6600,1.1100,1.5800,4.0400,10.1000
2023-11-06,0.6600,1.1000,1.5800,4.0000,10.1700
2023-11-07,0.6700,1.1100,1.5800,4.0800,10.1100
2023-11-08,0.6600,1.1000,1.5800,4.0800,10.1800
2023-11-09,0.6500,1.0900,1.5600,4.0400,10.0700
2023-11-10,0.6500,1.0900,1.5600,4.0300,10.1000
2023-11-13,0.6400,1.0800,1.5500,4.0300,10.1200
2023-11-14,0.6300,1.0500,1.5200,3.9200,9.8700
2023-11-15,0.6200,1.0400,1.5100,3.8900,9.7700
2023-11-16,0.6200,1.0300,1.5000,4.0200,9.9300
2023-11-17,0.6100,1.0200,1.4800,3.9900,9.8900
2023-11-20,0.6000,1.0000,1.4600,3.9200,9.8100
2023-11-21,0.6000,0.9900,1.4600,3.9500,9.8300
2023-11-22,0.5800,0.9800,1.4300,3.9000,9.8200
2023-11-23,0.5800,0.9800,1.4300,3.9000,9.8200
2023-11-24,0.5700,0.9700,1.4200,3.8500,9.7700
2023-11-27,0.5700,0.9600,1.4100,3.8900,9.7600
2023-11-28,0.5700,0.9700,1.4100,3.9000,9.7500
2023-11-29,0.5500,0.9400,1.3800,3.8000,9.6000
2023-11-30,0.5400,0.9300,1.3900,3.8400,9.7600
2023-12-01,0.5500,0.9300,1.3900,3.8700,9.7900
2023-12-04,0.5400,0.9200,1.3800,3.8000,9.7300
2023-12-05,0.5500,0.9300,1.3900,3.8000,9.6500
2023-12-06,0.5600,0.9400,1.4000,3.7900,9.6100
2023-12-07,0.5600,0.9300,1.3900,3.7700,9.6000
2023-12-08,0.5500,0.9200,1.3800,3.7500,9.5500
2023-12-11,0.5600,0.9300,1.3800,3.7900,9.6200
2023-12-12,0.5500,0.9100,1.3600,3.7600,9.5400
2023-12-13,0.5400,0.9000,1.3500,3.7900,9.5300
2023-12-14,0.5200,0.8600,1.3100,3.4700,9.0300
2023-12-15,0.5300,0.8700,1.3100,3.5100,9.0400
2023-12-18,0.5300,0.8700,1.3100,3.5100,9.0200
2023-12-19,0.5400,0.8800,1.3200,3.4600,8.9500
2023-12-20,0.5500,0.8900,1.3300,3.4300,8.8100
2023-12-21,0.5600,0.9000,1.3300,3.4100,8.7300
2023-12-22,0.5600,0.9000,1.3300,3.3900,8.7200
2023-12-25,0.5600,0.9000,1.3300,3.3900,8.7200
2023-12-26,0.5500,0.9000,1.3200,3.3700,8.6600
2023-12-27,0.5600,0.8900,1.3100,3.3400,8.6200
2023-12-28,0.5500,0.8800,1.2900,3.3200,8.5700
2023-12-29,0.5500,0.8800,1.2900,3.3400,8.5100
2024-01-01,0.5500,0.8800,1.2900,3.3400,8.5100
2024-01-02,0.5700,0.9000,1.3100,3.5400,9.2500
2024-01-03,0.6000,0.9300,1.3400,3.7100,9.5200
2024-01-04,0.5900,0.9300,1.3400,3.6900,9.5400
2024-01-05,0.5900,0.9300,1.3300,3.6800,9.5400
2024-01-08,0.5900,0.9200,1.3200,3.6300,9.5300
2024-01-09,0.5800,0.9100,1.3000,3.5900,9.4700
2024-01-10,0.5600,0.8900,1.2800,3.5000,9.3800
2024-01-11,0.5500,0.8800,1.2700,3.5500,9.4000
2024-01-12,0.5500,0.8700,1.2600,3.5600,9.4100
2024-01-15,0.5500,0.8700,1.2600,3.5400,9.3300
2024-01-16,0.5400,0.8700,1.2600,3.5800,9.3400
2024-01-17,0.5500,0.8700,1.2600,3.6200,9.4000
2024-01-18,0.5300,0.8500,1.2400,3.5800,9.3800
2024-01-19,0.5300,0.8500,1.2400,3.5400,9.2800
2024-01-22,0.5400,0.8600,1.2400,3.4900,9.2200
2024-01-23,0.5400,0.8500,1.2400,3.5100,9.1900
2024-01-24,0.5300,0.8400,1.2300,3.4400,9.1500
2024-01-25,0.5200,0.8200,1.2200,3.4500,9.1400
2024-01-26,0.5100,0.8100,1.2100,3.3900,9.0800
2024-01-29,0.5200,0.8200,1.2200,3.4100,9.0700
2024-01-30,0.5400,0.8400,1.2300,3.4200,9.0700
2024-01-31,0.5600,0.8600,1.2600,3.5900,9.5300
2024-02-01,0.5800,0.8900,1.2800,3.5600,9.5200
2024-02-02,0.5600,0.8600,1.2500,3.4700,9.4600
2024-02-05,0.5500,0.8500,1.2400,3.5000,9.5500
2024-02-06,0.5500,0.8400,1.2400,3.5200,9.5500
2024-02-07,0.5500,0.8400,1.2400,3.4300,9.4200
2024-02-08,0.5400,0.8400,1.2300,3.3800,9.2700
2024-02-09,0.5400,0.8400,1.2400,3.3300,9.2000
2024-02-12,0.5500,0.8400,1.2400,3.3500,9.2200
2024-02-13,0.5400,0.8300,1.2200,3.3600,9.2500
2024-02-14,0.5300,0.8300,1.2200,3.3800,9.3000
2024-02-15,0.5300,0.8100,1.2000,3.3500,9.2800
2024-02-16,0.5200,0.8000,1.1900,3.3400,9.2500
2024-02-19,0.5200,0.8100,1.2000,3.3400,9.2700
2024-02-20,0.5200,0.8000,1.1900,3.3700,9.2800
2024-02-21,0.5100,0.7900,1.1800,3.3400,9.2700
2024-02-22,0.5000,0.7700,1.1600,3.2200,9.0600
2024-02-23,0.5200,0.7900,1.1800,3.2300,8.9700
2024-02-26,0.5300,0.8000,1.2000,3.2300,8.8600
2024-02-27,0.5300,0.8100,1.2000,3.2600,8.8400
2024-02-28,0.5400,0.8200,1.2200,3.3100,8.8600
2024-02-29,0.5500,0.8400,1.2400,3.2900,8.8000
2024-03-01,0.5600,0.8500,1.2500,3.3200,8.7900
2024-03-04,0.5500,0.8400,1.2400,3.2600,8.7100
2024-03-05,0.5600,0.8500,1.2500,3.3100,8.7200
2024-03-06,0.5600,0.8500,1.2500,3.2700,8.6900
2024-03-07,0.5500,0.8400,1.2400,3.2700,8.6800
2024-03-08,0.5400,0.8300,1.2300,3.2600,8.6800
2024-03-11,0.5400,0.8200,1.2300,3.2600,8.6600
2024-03-12,0.5300,0.8100,1.2100,3.2000,8.5700
2024-03-13,0.5100,0.7900,1.1900,3.1500,8.4900
2024-03-14,0.5000,0.7800,1.1700,3.1500,8.4900
2024-03-15,0.5000,0.7800,1.1700,3.1600,8.5200
2024-03-18,0.4900,0.7700,1.1500,3.1300,8.4900
2024-03-19,0.4800,0.7600,1.1500,3.1000,8.3900
2024-03-20,0.4900,0.7700,1.1600,3.1400,8.4800
2024-03-21,0.4800,0.7600,1.1400,3.0500,8.4600
2024-03-22,0.4800,0.7700,1.1500,3.0800,8.4500
2024-03-25,0.4900,0.7700,1.1500,3.1100,8.5500
2024-03-26,0.5000,0.7800,1.1600,3.1500,8.5900
2024-03-27,0.5000,0.7900,1.1600,3.1500,8.5800
2024-03-28,0.5000,0.7800,1.1500,3.1200,8.5200
2024-03-29,0.5000,0.7800,1.1500,3.1200,8.5200
2024-04-01,0.5000,0.7900,1.1600,3.1200,8.5900
2024-04-02,0.4900,0.7800,1.1600,3.2300,8.7800
2024-04-03,0.4900,0.7700,1.1400,3.2300,8.8300
2024-04-04,0.4900,0.7700,1.1500,3.2400,8.8300
2024-04-05,0.4900,0.7800,1.1400,3.1800,8.7800
2024-04-08,0.4900,0.7600,1.1300,3.1500,8.7800
2024-04-09,0.4900,0.7600,1.1300,3.1400,8.7300
2024-04-10,0.4800,0.7500,1.1100,3.1000,8.6800
2024-04-11,0.4700,0.7500,1.1100,3.1600,8.7200
2024-04-12,0.4900,0.7700,1.1300,3.2500,8.8600
2024-04-15,0.4900,0.7800,1.1500,3.2800,8.9400
2024-04-16,0.5100,0.8100,1.1700,3.3600,9.1000
2024-04-17,0.5100,0.8000,1.1700,3.4200,9.1800
2024-04-18,0.5100,0.8000,1.1700,3.3900,9.1600
2024-04-19,0.5100,0.8000,1.1700,3.3700,9.1600
2024-04-22,0.5000,0.7900,1.1600,3.2900,9.1100
2024-04-23,0.4900,0.7700,1.1400,3.2000,8.9800
2024-04-24,0.4900,0.7700,1.1400,3.1900,8.9300
2024-04-25,0.4900,0.7700,1.1400,3.2400,9.0100
2024-04-26,0.4800,0.7600,1.1300,3.1600,8.9100
2024-04-29,0.4800,0.7500,1.1200,3.1200,8.8200
2024-04-30,0.4900,0.7700,1.1400,3.1800,9.1600
2024-05-01,0.4900,0.7700,1.1400,3.2100,9.2100
2024-05-02,0.4900,0.7600,1.1300,3.1600,9.1200
2024-05-03,0.4800,0.7500,1.1100,3.0800,9.0400
2024-05-06,0.4800,0.7400,1.1000,3.0300,9.0200
2024-05-07,0.4800,0.7400,1.1000,3.0600,9.0900
2024-05-08,0.4800,0.7500,1.1100,3.1000,9.1700
2024-05-09,0.4800,0.7500,1.1100,3.1400,9.2000
2024-05-10,0.4800,0.7500,1.1200,3.1200,9.2200
2024-05-13,0.4900,0.7600,1.1200,3.1400,9.2200
2024-05-14,0.4900,0.7600,1.1200,3.1400,9.1400
2024-05-15,0.4900,0.7600,1.1200,3.1300,9.1000
2024-05-16,0.4900,0.7500,1.1100,3.0800,9.0500
2024-05-17,0.4800,0.7500,1.1100,3.0900,9.0200
2024-05-20,0.4800,0.7400,1.1000,3.0700,8.9800
2024-05-21,0.4900,0.7400,1.1000,3.0700,8.9800
2024-05-22,0.4900,0.7500,1.1100,3.1100,9.0100
2024-05-23,0.4900,0.7500,1.1000,3.1000,9.0000
2024-05-24,0.4900,0.7500,1.1000,3.1100,9.0300
2024-05-27,0.4900,0.7500,1.1000,3.1200,9.0500
2024-05-28,0.4800,0.7400,1.0900,3.0900,9.0200
2024-05-29,0.4800,0.7400,1.0900,3.1500,9.0900
2024-05-30,0.4800,0.7400,1.0900,3.1900,9.1500
2024-05-31,0.4900,0.7400,1.1000,3.2000,9.3400
2024-06-03,0.4900,0.7400,1.1000,3.1700,9.3300
2024-06-04,0.5000,0.7600,1.1100,3.2200,9.3700
2024-06-05,0.5100,0.7700,1.1300,3.2000,9.3300
2024-06-06,0.5200,0.7800,1.1300,3.2000,9.2500
2024-06-07,0.5100,0.7600,1.1200,3.1500,9.2200
2024-06-10,0.5100,0.7600,1.1200,3.1500,9.2000
2024-06-11,0.5100,0.7700,1.1200,3.1900,9.2500
2024-06-12,0.5100,0.7600,1.1200,3.0900,9.0700
2024-06-13,0.5200,0.7800,1.1400,3.2000,9.1800
2024-06-14,0.5400,0.8000,1.1700,3.2900,9.3300
2024-06-17,0.5500,0.8100,1.1700,3.2600,9.3600
2024-06-18,0.5600,0.8100,1.1700,3.2400,9.3500
2024-06-19,0.5600,0.8100,1.1800,3.2400,9.3600
2024-06-20,0.5600,0.8200,1.1800,3.2300,9.3200
2024-06-21,0.5600,0.8200,1.1800,3.2100,9.3600
2024-06-24,0.5600,0.8200,1.1800,3.1900,9.3700
2024-06-25,0.5600,0.8200,1.1800,3.1900,9.3900
2024-06-26,0.5700,0.8300,1.1800,3.1800,9.4100
2024-06-27,0.5600,0.8200,1.1800,3.2100,9.4400
2024-06-28,0.5500,0.8200,1.1700,3.1800,9.4200
2024-07-01,0.5400,0.8000,1.1600,3.2100,9.5100
2024-07-02,0.5300,0.7900,1.1500,3.2300,9.5500
2024-07-03,0.5300,0.7800,1.1500,3.2500,9.5800
2024-07-04,0.5300,0.7900,1.1500,3.2500,9.5900
2024-07-05,0.5300,0.7800,1.1500,3.2700,9.5900
2024-07-08,0.5300,0.7800,1.1400,3.2000,9.5200
2024-07-09,0.5200,0.7800,1.1400,3.2100,9.5100
2024-07-10,0.5300,0.7800,1.1400,3.1700,9.4600
2024-07-11,0.5300,0.7900,1.1500,3.1800,9.5200
2024-07-12,0.5200,0.7800,1.1400,3.1900,9.5100
2024-07-15,0.5200,0.7800,1.1400,3.1300,9.3800
2024-07-16,0.5300,0.7900,1.1400,3.0800,9.3000
2024-07-17,0.5300,0.7900,1.1500,3.0900,9.3700
2024-07-18,0.5300,0.7900,1.1500,3.0900,9.3000
2024-07-19,0.5300,0.7900,1.1500,3.0900,9.3200
2024-07-22,0.5300,0.7900,1.1500,3.0500,9.3100
2024-07-23,0.5300,0.7900,1.1500,3.0200,9.2600
2024-07-24,0.5600,0.8300,1.1800,3.1000,9.3400
2024-07-25,0.5500,0.8100,1.1700,3.0800,9.3100
2024-07-26,0.5500,0.8100,1.1700,3.1000,9.2900
2024-07-29,0.5500,0.8100,1.1700,3.1300,9.2200
2024-07-30,0.5500,0.8200,1.1800,3.2000,9.1900
2024-07-31,0.5600,0.8300,1.2000,3.2500,9.4200
2024-08-01,0.5800,0.8500,1.2300,3.3500,9.5300
2024-08-02,0.6300,0.9100,1.3000,3.7200,10.1000
2024-08-05,0.6800,0.9700,1.3700,3.9300,10.5500
2024-08-06,0.6500,0.9300,1.3200,3.6700,10.1900
2024-08-07,0.6400,0.9200,1.3100,3.5700,9.9600
2024-08-08,0.6200,0.9000,1.2900,3.4800,9.8300
2024-08-09,0.6200,0.9000,1.2800,3.4900,9.8300
2024-08-12,0.6200,0.9000,1.2900,3.5200,9.8000
2024-08-13,0.6100,0.8900,1.2800,3.5400,9.8400
2024-08-14,0.6000,0.8800,1.2600,3.4600,9.6900
2024-08-15,0.5700,0.8400,1.2200,3.3100,9.6600
2024-08-16,0.5600,0.8300,1.2100,3.2900,9.6300
2024-08-19,0.5500,0.8300,1.2100,3.2100,9.5200
2024-08-20,0.5600,0.8400,1.2200,3.2500,9.5900
2024-08-21,0.5600,0.8400,1.2200,3.2700,9.6100
2024-08-22,0.5500,0.8300,1.2100,3.2100,9.5200
2024-08-23,0.5400,0.8200,1.2000,3.1900,9.4500
2024-08-26,0.5400,0.8100,1.1900,3.1500,9.3900
2024-08-27,0.5400,0.8100,1.1900,3.1700,9.4300
2024-08-28,0.5400,0.8200,1.1900,3.1900,9.4400
2024-08-29,0.5300,0.8100,1.1900,3.1500,9.3700
2024-08-30,0.5300,0.8100,1.1800,3.1300,9.3700
2024-09-02,0.5500,0.8100,1.1900,3.1700,9.4700
2024-09-03,0.5600,0.8200,1.2200,3.3100,9.6500
2024-09-04,0.5700,0.8300,1.2300,3.3500,9.5700
2024-09-05,0.5700,0.8300,1.2300,3.2900,9.3200
2024-09-06,0.5700,0.8400,1.2400,3.3900,9.3700
2024-09-09,0.5700,0.8300,1.2300,3.3600,9.2900
2024-09-10,0.5800,0.8400,1.2500,3.4600,9.3300
2024-09-11,0.5800,0.8400,1.2500,3.4400,9.2700
2024-09-12,0.5700,0.8300,1.2400,3.3900,9.1700
2024-09-13,0.5600,0.8300,1.2300,3.3700,9.1900
2024-09-16,0.5600,0.8200,1.2200,3.3200,8.9000
2024-09-17,0.5500,0.8100,1.2000,3.2500,8.7700
2024-09-18,0.5400,0.8000,1.1900,3.2100,8.7100
2024-09-19,0.5200,0.7700,1.1600,3.1000,8.4700
2024-09-20,0.5200,0.7700,1.1700,3.1500,8.5000
2024-09-23,0.5100,0.7600,1.1600,3.1500,8.5900
2024-09-24,0.5100,0.7600,1.1500,3.2100,8.6800
2024-09-25,0.5100,0.7600,1.1500,3.1900,8.6500
2024-09-26,0.5100,0.7600,1.1500,3.1400,8.6300
2024-09-27,0.5200,0.7600,1.1500,3.1400,8.4000
2024-09-30,0.5200,0.7600,1.1600,3.0300,8.0200
2024-10-01,0.5200,0.7600,1.1600,3.0700,8.0600
2024-10-02,0.5200,0.7500,1.1500,3.0600,8.0600
2024-10-03,0.5100,0.7400,1.1300,3.0400,8.0100
2024-10-04,0.4800,0.7100,1.1000,2.8900,7.8500
2024-10-07,0.4800,0.7100,1.0900,2.9500,7.9000
2024-10-08,0.4900,0.7100,1.0900,2.9900,7.9200
2024-10-09,0.4800,0.7000,1.0800,2.9400,7.8700
2024-10-10,0.4700,0.6900,1.0700,2.9900,7.9000
2024-10-11,0.4600,0.6900,1.0600,2.9800,7.8800
2024-10-14,0.4600,0.6900,1.0600,2.9700,7.8500
2024-10-15,0.4600,0.6900,1.0500,2.9300,7.8000
2024-10-16,0.4600,0.6800,1.0500,2.9000,7.7500
2024-10-17,0.4600,0.6800,1.0400,2.8900,7.6900
2024-10-18,0.4600,0.6800,1.0500,2.8800,7.6600
2024-10-21,0.4700,0.7000,1.0700,2.8800,7.6700
2024-10-22,0.4800,0.7100,1.0700,2.9200,7.6900
2024-10-23,0.4800,0.7100,1.0800,2.9500,7.7100
2024-10-24,0.4900,0.7100,1.0800,2.9300,7.6900
2024-10-25,0.4800,0.7000,1.0700,2.8900,7.6900
2024-10-28,0.4800,0.7000,1.0600,2.8200,7.5900
2024-10-29,0.4800,0.7000,1.0600,2.8500,7.6100
2024-10-30,0.4800,0.7000,1.0600,2.8000,7.5200
2024-10-31,0.4900,0.7100,1.0800,2.8800,7.5600
2024-11-01,0.4900,0.7100,1.0700,2.8300,7.4100
2024-11-04,0.4900,0.7100,1.0700,2.8700,7.5100
2024-11-05,0.4800,0.7000,1.0600,2.8600,7.5000
2024-11-06,0.4500,0.6600,1.0100,2.7400,7.3300
2024-11-07,0.4300,0.6400,0.9900,2.7300,7.2800
2024-11-08,0.4300,0.6300,0.9800,2.6300,7.2100
2024-11-11,0.4300,0.6300,0.9800,2.6300,7.2100
2024-11-12,0.4300,0.6300,0.9700,2.6100,7.1900
2024-11-13,0.4400,0.6500,0.9900,2.6400,7.2500
2024-11-14,0.4500,0.6600,1.0000,2.6000,7.1600
2024-11-15,0.4600,0.6700,1.0100,2.7200,7.2500
2024-11-18,0.4500,0.6600,1.0000,2.7200,7.2500
2024-11-19,0.4500,0.6600,1.0000,2.6900,7.2200
2024-11-20,0.4600,0.6700,1.0100,2.6700,7.1900
2024-11-21,0.4600,0.6700,1.0100,2.6100,7.0600
2024-11-22,0.4600,0.6700,1.0000,2.6100,7.1000
2024-11-25,0.4600,0.6700,1.0000,2.6400,7.1600
2024-11-26,0.4700,0.6800,1.0100,2.6800,7.1800
2024-11-27,0.4800,0.6900,1.0200,2.6900,7.2200
2024-11-28,0.4800,0.6900,1.0200,2.6900,7.2200
2024-11-29,0.4700,0.6800,1.0200,2.7200,7.2600
2024-12-02,0.4700,0.6800,1.0100,2.6800,7.3200
2024-12-03,0.4600,0.6700,1.0000,2.6600,7.3200
2024-12-04,0.4600,0.6700,1.0100,2.6600,7.3100
2024-12-05,0.4700,0.6700,1.0100,2.6600,7.2700
2024-12-06,0.4700,0.6800,1.0200,2.6700,7.3000
2024-12-09,0.4700,0.6700,1.0100,2.6700,7.2400
2024-12-10,0.4600,0.6600,1.0000,2.6700,7.2100
2024-12-11,0.4500,0.6500,0.9800,2.6400,7.1500
2024-12-12,0.4500,0.6600,0.9900,2.6600,7.1400
2024-12-13,0.4500,0.6500,0.9800,2.6800,7.1600
2024-12-16,0.4500,0.6500,0.9800,2.6900,7.1600
2024-12-17,0.4500,0.6600,0.9900,2.7500,7.2000
2024-12-18,0.4500,0.6600,0.9800,2.7300,7.1600
2024-12-19,0.4700,0.6900,1.0200,2.9100,7.3600
