date,FTSE100,SP500,SX5E
2023-08-01,7666.3,4576.73,4471.31
2023-08-02,7561.6,4513.39,4336.5
2023-08-03,7529.2,4501.89,4304.63
2023-08-04,7564.4,4478.03,4332.91
2023-08-07,7554.5,4518.44,4337.5
2023-08-08,7527.4,4499.38,4288.85
2023-08-09,7587.3,4467.71,4317.33
2023-08-10,7618.6,4468.83,4384.04
2023-08-11,7524.2,4464.05,4321.33
2023-08-14,7507.2,4489.72,4330.23
2023-08-15,7389.6,4437.86,4288.57
2023-08-16,7356.9,4404.33,4284.27
2023-08-17,7310.2,4370.36,4227.83
2023-08-18,7262.4,4369.71,4212.95
2023-08-21,7257.8,4399.77,4224.87
2023-08-22,7270.8,4387.55,4260.37
2023-08-23,7320.5,4436.01,4266.67
2023-08-24,7333.6,4376.31,4232.22
2023-08-25,7338.6,4405.71,4236.25
2023-08-28,7338.6,4433.31,4293.69
2023-08-29,7465.0,4497.63,4326.47
2023-08-30,7473.7,4514.87,4315.31
2023-08-31,7439.1,4507.66,4297.11
2023-09-01,7464.5,4515.77,4282.64
2023-09-04,7452.8,4515.77,4279.87
2023-09-05,7437.9,4496.83,4269.16
2023-09-06,7426.1,4465.48,4238.26
2023-09-07,7441.7,4451.14,4221.02
2023-09-08,7478.2,4457.49,4237.19
2023-09-11,7496.9,4487.46,4254.33
2023-09-12,7527.5,4461.9,4242.27
2023-09-13,7526.0,4467.44,4223.48
2023-09-14,7673.1,4505.1,4279.75
2023-09-15,7711.4,4450.32,4295.05
2023-09-18,7652.9,4453.53,4245.88
2023-09-19,7660.2,4443.95,4242.7
2023-09-20,7731.7,4402.2,4275.98
2023-09-21,7678.6,4330.0,4212.59
2023-09-22,7683.9,4320.06,4207.16
2023-09-25,7624.0,4337.44,4167.37
2023-09-26,7625.7,4273.53,4129.18
2023-09-27,7593.2,4274.51,4131.68
2023-09-28,7601.9,4299.7,4161.56
2023-09-29,7608.1,4288.05,4174.66
2023-10-02,7510.7,4288.39,4137.63
2023-10-03,7470.2,4229.45,4095.59
2023-10-04,7412.5,4263.75,4099.85
2023-10-05,7451.5,4258.19,4099.81
2023-10-06,7494.6,4308.5,4144.43
2023-10-09,7492.2,4335.66,4112.57
2023-10-10,7628.2,4358.24,4205.23
2023-10-11,7620.0,4376.95,4200.8
2023-10-12,7644.8,4349.61,4198.23
2023-10-13,7599.6,4327.78,4136.12
2023-10-16,7630.6,4373.63,4149.86
2023-10-17,7675.2,4373.2,4152.32
