date,t2,t5,t10,t20
2023-08-01,4.971442,4.491422,4.307137,4.552672
2023-08-02,4.922372,4.47099,4.316807,4.578662
2023-08-03,4.887648,4.483834,4.389891,4.691576
2023-08-04,4.824051,4.420571,4.326946,4.626817
2023-08-07,4.868256,4.468227,4.38138,4.688214
2023-08-08,4.867089,4.436422,4.314154,4.615047
2023-08-09,4.868401,4.437945,4.304395,4.610217
2023-08-10,4.836721,4.412125,4.294528,4.614558
2023-08-11,4.960703,4.552615,4.453296,4.766149
2023-08-14,5.000715,4.593058,4.494188,4.79831
2023-08-15,5.057207,4.628629,4.524618,4.824223
2023-08-16,5.085511,4.650075,4.550544,4.861901
2023-08-17,5.173226,4.745512,4.644513,4.950148
2023-08-18,5.12742,4.711579,4.608418,4.913185
2023-08-21,5.16295,4.758636,4.653677,4.951156
2023-08-22,5.099766,4.706173,4.595578,4.89072
2023-08-23,4.909423,4.505668,4.411816,4.735501
2023-08-24,4.903182,4.479408,4.358985,4.674769
2023-08-25,4.961289,4.527012,4.383157,4.678468
2023-08-28,4.961289,4.527012,4.383157,4.678468
2023-08-29,4.918525,4.492713,4.371364,4.686846
2023-08-30,4.88547,4.457079,4.356383,4.688703
2023-08-31,4.803941,4.382234,4.291951,4.630693
2023-09-01,4.81328,4.406394,4.344312,4.699065
2023-09-04,4.863396,4.460204,4.402008,4.77928
2023-09-05,4.913411,4.511146,4.445071,4.801958
2023-09-06,4.908374,4.536824,4.475063,4.815816
2023-09-07,4.824757,4.465157,4.420503,4.760552
2023-09-08,4.741112,4.381799,4.360879,4.725672
2023-09-11,4.790028,4.444768,4.429535,4.803145
2023-09-12,4.734823,4.380335,4.370989,4.760668
2023-09-13,4.679573,4.304916,4.303343,4.690246
2023-09-14,4.62645,4.21772,4.225105,4.615321
2023-09-15,4.684064,4.277518,4.307988,4.712048
2023-09-18,4.724497,4.330414,4.355552,4.760139
2023-09-19,4.688701,4.284618,4.302675,4.736208
2023-09-20,4.542034,4.14325,4.198225,4.668467
2023-09-21,4.53188,4.171025,4.251361,4.713314
2023-09-22,4.496131,4.136126,4.221974,4.716919
2023-09-25,4.503608,4.165036,4.290566,4.812087
2023-09-26,4.495993,4.163525,4.296869,4.820086
2023-09-27,4.561314,4.223832,4.321871,4.796496
2023-09-28,4.692333,4.402271,4.512088,4.965173
