date,t2,t5,t10,t20
2023-08-01,5.594427,4.794816,4.228452,3.968655
2023-08-02,5.502203,4.737,4.212521,3.968107
2023-08-03,5.439144,4.743702,4.27112,4.060778
2023-08-04,5.460248,4.714833,4.198713,3.977278
2023-08-07,5.479329,4.760727,4.269453,4.050482
2023-08-08,5.462183,4.728748,4.214358,3.988665
2023-08-09,5.429285,4.707943,4.197307,3.975013
2023-08-10,5.380272,4.683175,4.191856,3.983791
2023-08-11,5.51578,4.832141,4.342419,4.127003
2023-08-14,5.592181,4.867107,4.362542,4.140145
2023-08-15,5.660582,4.901672,4.391785,4.166214
2023-08-16,5.70309,4.953834,4.439111,4.209272
2023-08-17,5.780252,5.068099,4.539665,4.31175
2023-08-18,5.696067,4.996124,4.479203,4.246462
2023-08-21,5.771295,5.051595,4.526174,4.28826
2023-08-22,5.716029,4.987734,4.456911,4.217452
2023-08-23,5.521219,4.785311,4.282599,4.072209
2023-08-24,5.489606,4.768933,4.253994,4.035487
2023-08-25,5.542068,4.793001,4.261723,4.023132
2023-08-28,5.542068,4.793001,4.261723,4.023132
2023-08-29,5.448692,4.726506,4.244032,4.028149
2023-08-30,5.492754,4.737558,4.252251,4.049761
2023-08-31,5.406405,4.663183,4.187207,3.994601
2023-09-01,5.370874,4.686945,4.232174,4.056242
2023-09-04,5.422838,4.730684,4.287284,4.126139
2023-09-05,5.475458,4.780831,4.32763,4.149566
2023-09-06,5.462154,4.785152,4.334392,4.154456
2023-09-07,5.344178,4.686714,4.268951,4.102885
2023-09-08,5.29237,4.644018,4.228712,4.0758
2023-09-11,5.310858,4.662142,4.263485,4.124516
2023-09-12,5.289733,4.623278,4.22331,4.083492
2023-09-13,5.2181,4.526924,4.13953,4.008827
2023-09-14,5.179306,4.470053,4.094221,3.97019
2023-09-15,5.210924,4.512587,4.16291,4.050554
2023-09-18,5.245899,4.560047,4.183614,4.068957
2023-09-19,5.219285,4.534154,4.172721,4.067129
2023-09-20,5.060454,4.362122,4.032632,3.960267
2023-09-21,5.049791,4.39552,4.094959,4.033924
2023-09-22,4.992114,4.346997,4.066406,4.024972
2023-09-25,4.996397,4.395341,4.139864,4.11441
2023-09-26,5.039609,4.399493,4.151373,4.1301
