sim,surplus_pnl_gbp
0,-38342321.553362
1,21824332.903957
2,-6416413.326195
3,9949558.507111
4,-7237028.216034
5,714839.910650
6,27305934.968943
7,73582626.123229
8,9422711.505872
9,9099471.051579
10,-22806638.472639
11,-8169871.296203
12,23681653.231962
13,44676316.667281
14,10771658.689252
15,-8235339.577323
16,32532963.786727
17,-1001605.887929
18,-348188.831745
19,-36399024.585025
20,16598133.588668
21,-7777149.770638
22,6903637.911751
23,-12270318.933406
24,-22536598.929166
25,-22554934.804723
26,-11412036.360876
27,35180626.475361
28,-21145663.492977
29,28557929.670197
30,-11347263.829546
31,-34079285.337509
32,-13846645.177932
33,-13292406.511368
34,36481904.415217
35,-21786189.751966
36,32954066.743258
37,-20757936.238069
38,17395593.144592
39,73475282.465882
40,-22851186.267602
41,5157278.523959
42,9515687.426734
43,-29389125.654328
44,12248575.503956
45,-26767385.625978
46,13320503.819300
47,28876223.912840
48,7202936.143879
49,-28304504.301204
50,32262428.206557
51,43350169.425388
52,19233195.363817
53,-30379540.592702
54,-28576064.414862
55,-23301014.624989
56,-45611832.290037
57,-3321252.961588
58,-27901294.644184
59,23300610.482879
60,-9372247.918406
61,65488177.659751
62,-3912669.310506
63,-3533464.368491
64,-10803493.491927
65,-35971682.064548
66,20764150.539740
67,7184325.638091
68,-4786649.531884
69,29731973.493948
70,38827560.578698
71,41032820.078466
72,-21695920.503557
73,4401363.026465
74,15079151.616110
75,-19227834.243149
76,-5531376.580738
77,-8828074.988303
78,-601414.636544
79,-14684859.759094
80,9858997.911205
81,9575925.975150
82,2998210.189828
83,86083304.832123
84,22836295.902293
85,-31150521.376164
86,-21059758.239320
87,-5707724.250531
88,34563641.730130
89,16944540.068924
90,-14313696.676586
91,57954418.609650
92,17128025.597335
93,48145852.038295
94,5335596.067915
95,-18671231.763425
96,22248983.743444
97,11816034.875585
98,17140440.237671
99,48719315.338115
100,-24251393.516509
101,46135117.633974
102,-6882408.205703
103,24508735.487086
104,7852458.110649
105,-46952769.179742
106,-50276812.143484
107,-24155369.149179
108,37821546.144359
109,22058493.778350
110,59921746.377172
111,-19908652.227912
112,13176009.331694
113,8271761.975556
114,13556151.358854
115,27813554.743545
116,10802504.131682
117,64344938.804275
118,15018344.339924
119,-11599292.052400
120,26984446.188187
121,10673173.974613
122,7552781.023778
123,8399417.720920
124,-12802422.150508
125,-15586635.249539
126,8897187.822730
127,-35892225.194112
128,1199779.380507
129,2002621.789975
130,14038393.495597
131,-35553991.225107
132,41439631.994318
133,7421016.190645
134,30794076.555787
135,35279978.750259
136,-41822796.980576
137,-19064181.513427
138,-53201267.887269
139,-4825832.317188
140,8392123.747417
141,18996174.667697
142,-7678231.361306
143,-26815589.646486
144,13432697.090408
145,67588254.225187
146,20981028.297472
147,4071284.608376
148,-9527457.983473
149,18036928.660595
150,-20661916.230417
151,27978351.233634
152,13058958.029245
153,-21607991.702132
154,-17687942.419709
155,-21299514.461112
156,4028775.748433
157,31610522.847404
158,-9792543.535825
159,-5244934.970045
160,20082528.679346
161,26903979.788864
162,-14976167.349054
163,9634327.300734
