id,name,type,currency,market_value_gbp,var_99_5_1y_gbp
P001,UKT 4.25 2027,govt_bond,GBP,47085095.365496,776705.830454
P002,UKT 4.75 2030,govt_bond,GBP,47758112.211437,2911837.103590
P003,UKT 4.25 2032,govt_bond,GBP,44423521.132151,3970170.368830
P004,UKT 4.25 2036,govt_bond,GBP,25690222.304007,3503380.812783
P005,UKT 4.50 2042,govt_bond,GBP,14282307.289259,2588424.917252
P006,UKT 4.25 2046,govt_bond,GBP,9518983.284903,1944741.118005
P007,UST 2.875 2028,govt_bond,USD,46624258.167654,7215306.140416
P008,UST 0.625 2030,govt_bond,USD,38149096.977917,6276353.355565
P009,UST 3.875 2033,govt_bond,USD,25009928.595605,4549231.628805
P010,UST 4.00 2034,govt_bond,USD,19427905.653810,3637913.855211
P011,UST 2.00 2050,govt_bond,USD,7013797.279787,2001967.569773
P012,UST 4.00 2052,govt_bond,USD,8191360.399996,2184426.617464
P013,Apple Inc 3.85% 2043,corp_bond,USD,7658798.601660,1729569.404228
P014,Microsoft Corp 3.45% 2036,corp_bond,USD,12972007.964667,2542531.207312
P015,Nestle Holdings Inc 1.375% 2033,corp_bond,GBP,17096180.629117,1847069.816840
P016,Wellcome Trust Finance 4.625% 2036,corp_bond,GBP,12261267.352396,1623906.257026
P017,HSBC Holdings 6.00% 2040,corp_bond,GBP,9300987.627027,1461885.717943
P018,JPMorgan Chase 3.625% 2027,corp_bond,USD,31111075.321278,4745088.102103
P019,Total Capital Intl 3.455% 2029,corp_bond,USD,25507377.759530,3994719.492434
P020,Unilever 1.875% 2029,corp_bond,GBP,23605698.288593,1116452.031572
P021,Lloyds Banking Group 2.707% 2035,corp_bond,GBP,13115114.393079,1724853.685808
P022,Barclays PLC 3.25% 2033,corp_bond,GBP,18498155.233309,1685642.104457
P023,AT&T Inc 4.30% 2042,corp_bond,USD,7449251.299953,1606546.764752
P024,Verizon Communications 4.329% 2028,corp_bond,USD,27490260.246820,4232883.438294
P025,Vodafone Group 5.90% 2032,corp_bond,GBP,18848429.121897,1624134.630497
P026,Ocado Group 10.50% 2029,corp_bond,GBP,11280951.477094,828737.976790
P027,Virgin Media Secured Fin 4.25% 2030,corp_bond,GBP,13173042.066484,1017637.316142
P028,Ford Motor Credit 7.35% 2027,corp_bond,USD,15216082.951053,2315761.408734
PCF-001,PC Fund I - Senior Direct Lending (GBP),corp_bond,GBP,17455381.650075,1745245.509158
PCF-002,PC Fund II - Mid-Market Lending (USD),corp_bond,USD,15041438.382970,2520159.391090
PCF-003,PC Fund III - Opportunistic Credit (USD),corp_bond,USD,13030949.094158,2183306.403172
PCF-004,PC Fund IV - Real Estate Debt (GBP),corp_bond,GBP,13576407.950058,1357413.173790
P029,AstraZeneca PLC,equity,GBP,20603009.247247,5956140.196047
P030,Shell PLC,equity,GBP,20599216.972148,5955043.884247
P031,HSBC Holdings PLC,equity,GBP,14982202.096043,4331216.622711
P032,Unilever PLC,equity,GBP,14046727.420156,4060779.510706
P033,Rio Tinto PLC,equity,GBP,14044620.600657,4060170.448595
P034,Apple Inc,equity,USD,17725490.845807,7459034.706405
P035,Microsoft Corp,equity,USD,19518976.278935,8213748.367511
P036,Alphabet Inc Class A,equity,USD,14194897.251872,5973331.411616
P037,Johnson & Johnson,equity,USD,12413587.192109,5223741.249390
P038,JPMorgan Chase & Co,equity,USD,14187949.348593,5970407.675842
P039,ASML Holding NV,equity,GBP,17490571.606525,6986997.982965
P040,SAP SE,equity,GBP,14887572.284095,5947171.988445
P041,TotalEnergies SE,equity,GBP,13140267.159064,5249172.079760
P042,GBP cash (main),cash,GBP,40000000.000000,-0.000000
P043,GBP cash (collateral),cash,GBP,15000000.000000,-0.000000
P044,GBP cash (margin),cash,GBP,10000000.000000,-0.000000
P045,USD cash (main),cash,USD,15182570.409170,2325355.265226
P046,USD cash (custody),cash,USD,9868670.765961,1511480.922397
