issuer,isin,agency_rating
Apple Inc,US037833AL42,AA+
Microsoft Corp,US594918BS26,AAA
Nestle Holdings Inc,XS2354308194,AA-
Wellcome Trust Finance plc,XS0261559594,AAA
HSBC Holdings plc,XS0498768315,A-
JPMorgan Chase & Co,US46625HRX07,A-
Total Capital International SA,US89153VAQ23,A+
Unilever plc,XS1684780205,A+
Lloyds Banking Group plc,XS2265524640,A-
Barclays plc,XS1748699011,BBB+
AT&T Inc,US00206RBH49,BBB+
Verizon Communications Inc,US92343VER15,BBB+
Vodafone Group plc,XS0158715713,BBB
Ford Motor Credit Co LLC,US345397C353,BB+
Ocado Group plc,XS2871478058,B
Virgin Media Secured Finance plc,XS2062666602,BB-
